term,sessionPeriod,voteDate,voteTime,voteIssue,voteType,url,
10,08,112/12/12,10:45,討論事項第七案第十二條，民進黨黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023121813494210.xlsx,
10,08,112/12/12,10:48,討論事項第七案協商結論保留條文(二)，時代力量黨團台灣民眾黨黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023121813494211.xlsx,
10,08,112/12/12,10:50,討論事項第七案協商結論保留條文(二)，國民黨黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023121813494212.xlsx,
10,08,112/12/19,10:03,內政委員會　保留21，台灣民眾黨黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202401021113230.xlsx,
10,08,112/12/19,10:05,內政委員會　保留30，台灣民眾黨黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202401021113251.xlsx,
10,08,112/12/19,10:07,內政委員會　保留38，國民黨黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202401021113252.xlsx,
10,08,112/12/19,10:09,內政委員會　保留48，國民黨黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202401021113263.xlsx,
10,08,112/12/19,10:10,內政委員會　保留49，國民黨黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202401021113264.xlsx,
10,08,112/12/19,10:12,內政委員會　保留51，國民黨黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202401021113265.xlsx,
10,08,112/12/19,10:14,內政委員會　保留52，時代力量黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202401021113276.xlsx,
10,08,112/12/19,10:16,內政委員會　保留90，台灣民眾黨黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202401021113277.xlsx,
10,08,112/12/19,10:18,內政委員會　保留93，台灣民眾黨黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202401021113278.xlsx,
10,08,112/12/19,10:19,內政委員會　保留119，國民黨黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202401021113289.xlsx,
10,08,112/12/19,10:21,內政委員會　保留120，國民黨黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2024010211132810.xlsx,
10,08,112/12/19,10:22,內政委員會　保留173，時代力量黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2024010211132811.xlsx,
10,08,112/12/19,10:24,外交及國防委員會　保留76，時代力量黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2024010211132812.xlsx,
10,08,112/12/19,10:26,外交及國防委員會　保留90，時代力量黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2024010211132913.xlsx,
10,08,112/12/19,10:28,外交及國防委員會　保留157，國民黨黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2024010211132914.xlsx,
10,08,112/12/19,10:30,經濟委員會　保留5，台灣民眾黨黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2024010211132915.xlsx,
10,08,112/12/19,10:32,經濟委員會　保留253，時代力量黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2024010211133016.xlsx,
10,08,112/12/19,10:33,經濟委員會　保留255，台灣民眾黨黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2024010211133017.xlsx,
10,08,112/12/19,10:35,經濟委員會　保留304，國民黨黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2024010211133018.xlsx,
10,08,112/12/19,10:37,經濟委員會　保留332-1，委員李貴敏等提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2024010211133119.xlsx,
10,08,112/12/19,10:39,教育及文化委員會　保留229，時代力量黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2024010211133120.xlsx,
10,08,112/12/19,10:40,教育及文化委員會　保留230，時代力量黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2024010211133221.xlsx,
10,08,112/12/19,10:42,交通委員會　保留1，時代力量黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2024010211133222.xlsx,
10,08,112/12/19,10:44,交通委員會　保留9，國民黨黨團提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2024010211133323.xlsx,
10,08,112/12/19,10:45,交通委員會　保留10，委員陳椒華等提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2024010211133324.xlsx,
10,08,112/12/19,10:47,交通委員會　保留11，委員陳椒華等提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2024010211133325.xlsx,
10,08,112/12/19,10:49,交通委員會　保留12，委員陳椒華等提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2024010211133426.xlsx,
