term,sessionPeriod,meetingNo,billNo,billName,docUrl,selectTerm
11,01,2024022107,401110005130000,行政院函請審議「中華民國（臺灣）政府部分停止中華民國（臺灣）與薩爾瓦多共和國暨宏都拉斯共和國自由貿易協定施行文書」案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00035.pdf,all
11,01,2024022107,401110005140000,行政院函請審議我國與宏都拉斯共和國間自112年12月6日終止「中華民國（臺灣）與薩爾瓦多共和國暨宏都拉斯共和國自由貿易協定」案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00036.pdf,all
11,01,2024022107,701110000020000,行政院函，為教育部體育署為頒發第19屆杭州亞洲運動會等多項賽會績優運動選手及有功教練獎勵金經費不敷，動支112年度中央政府總預算第二預備金3億3344萬2000元支應，茲檢送第二預備金動支數額機關別表，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00042.pdf,all
11,01,2024022107,701110000030000,行政院函，為農業部農糧署為辦理溯源農產品驗證輔導及安全管理與行銷計畫所需經費不敷，動支112年度中央政府總預算第二預備金3億2033萬8000元支應，茲檢送第二預備金動支數額機關別表，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00044.pdf,all
11,01,2024022107,701110000040000,行政院函，為衛生福利部為辦理關懷弱勢加發身心障礙者、中低收入老人、弱勢兒少及特殊境遇家庭等生活補助所需經費不敷，動支中央政府疫後強化經濟與社會韌性及全民共享經濟成果特別預算預備金3億3051萬元支應，茲檢送特別預算預備金動支數額機關別表，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00050.pdf,all
11,01,2024022107,701110000050000,行政院函，為中華民國111年6月22日制定公布之「醫療事故預防及爭議處理法」，定自113年1月1日施行，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00058.pdf,all
11,01,2024022107,701110000290000,行政院函，為中華民國112年6月14日修正公布之「人口販運防制法」，定自113年1月1日施行，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00053.pdf,all
11,01,2024022107,701110000300000,行政院函，為中華民國112年6月21日制定公布之「海洋產業發展條例」，定自113年1月1日施行，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00054.pdf,all
11,01,2024022107,701110000310000,行政院函，為中華民國112年12月6日修正公布之「加值型及非加值型營業稅法」第二條之一及第六條條文，定自112年12月20日施行，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00055.pdf,all
11,01,2024022107,701110000320000,行政院函，為中華民國112年12月6日修正公布之「金融消費者保護法」第三條、第十一條之一及第十九條條文，定自113年2月1日施行，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00056.pdf,all
